full_name,nif,phone,company,email,document_type,expiry_date,issue_date,birth_date,address,course_number,flag_fran,flag_ciusaba,expiry_fran,expiry_ciusaba
Cliente Test 35,10000035J,610000035,Empresa Demo 11,cliente35@example.com,power_of_attorney,,,,,,False,True,,2026-09-02
Cliente Test 36,10000036K,610000036,,,other,2026-06-20,2025-02-22,,,,False,False,,
Cliente Test 37,10000037L,610000037,Empresa Demo 01,cliente37@example.com,dni,2026-05-07,,1997-02-11,"Calle DNI 37, Valencia",,False,False,,
Cliente Test 38,10000038M,610000038,Empresa Demo 02,cliente38@example.com,driving_license,2026-06-07,2015-06-11,,"Avenida Carnet 38, Alicante",,False,False,,
Cliente Test 39,10000039N,610000039,,cliente39@example.com,cap,2026-07-08,,,,CAP-2026-039,False,False,,
Cliente Test 40,10000040O,610000040,Empresa Demo 04,,tachograph_card,2026-05-25,,,,,False,False,,
Cliente Test 41,10000041P,610000041,Empresa Demo 05,cliente41@example.com,power_of_attorney,,,,,,False,True,,2026-09-08
Cliente Test 42,10000042Q,610000042,,cliente42@example.com,other,2026-06-26,2025-02-10,,,,False,False,,
Cliente Test 43,10000043R,610000043,Empresa Demo 07,cliente43@example.com,dni,2026-05-13,,1983-08-17,"Calle DNI 43, Valencia",,False,False,,
Cliente Test 44,10000044S,610000044,Empresa Demo 08,,driving_license,2026-06-13,2015-04-30,,"Avenida Carnet 44, Alicante",,False,False,,
Cliente Test 45,10000045T,610000045,,cliente45@example.com,cap,2026-07-14,,,,CAP-2026-045,False,False,,
Cliente Test 46,10000046U,610000046,Empresa Demo 10,cliente46@example.com,tachograph_card,2026-05-31,,,,,False,False,,
Cliente Test 47,10000047V,610000047,Empresa Demo 11,cliente47@example.com,power_of_attorney,,,,,,False,True,,2026-09-14
Cliente Test 48,10000048W,610000048,,,other,2026-07-02,2025-01-29,,,,False,False,,
Cliente Test 49,10000049X,610000049,Empresa Demo 01,cliente49@example.com,dni,2026-05-19,,1989-02-23,"Calle DNI 49, Valencia",,False,False,,
Cliente Test 50,10000050Y,610000050,Empresa Demo 02,cliente50@example.com,driving_license,2026-06-19,2015-03-19,,"Avenida Carnet 50, Alicante",,False,False,,
